iso3,country,year,indicator_code,indicator_name,value,unit,vintage,source
CHL,Chile,2001,GGXWDG_NGDP,Dívida bruta do governo geral,14.348084,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2002,GGXWDG_NGDP,Dívida bruta do governo geral,15.04533,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2003,GGXWDG_NGDP,Dívida bruta do governo geral,12.573018,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2004,GGXWDG_NGDP,Dívida bruta do governo geral,10.314065,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2005,GGXWDG_NGDP,Dívida bruta do governo geral,7.03962,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2006,GGXWDG_NGDP,Dívida bruta do governo geral,5.022398,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2007,GGXWDG_NGDP,Dívida bruta do governo geral,3.90126,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2008,GGXWDG_NGDP,Dívida bruta do governo geral,4.915989,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2009,GGXWDG_NGDP,Dívida bruta do governo geral,5.844926,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2010,GGXWDG_NGDP,Dívida bruta do governo geral,8.607327,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2011,GGXWDG_NGDP,Dívida bruta do governo geral,11.12689,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2012,GGXWDG_NGDP,Dívida bruta do governo geral,11.939073,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2013,GGXWDG_NGDP,Dívida bruta do governo geral,12.784064,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2014,GGXWDG_NGDP,Dívida bruta do governo geral,15.019748,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2015,GGXWDG_NGDP,Dívida bruta do governo geral,17.37466,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2016,GGXWDG_NGDP,Dívida bruta do governo geral,21.100505,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2017,GGXWDG_NGDP,Dívida bruta do governo geral,23.651639,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2018,GGXWDG_NGDP,Dívida bruta do governo geral,25.798028,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2019,GGXWDG_NGDP,Dívida bruta do governo geral,28.329642,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2020,GGXWDG_NGDP,Dívida bruta do governo geral,32.380101,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
